点击数,转化数,周期结束,最佳内容类型,平台,数据状态,周期开始,发帖数,网站会话数,互动率,备注,互动数,曝光|播放,建议UTM渠道参数,转化率
GA4仅能观察网站会话，未拆平台点击,12,2026-07-05,待接入平台后台数据后判断,GA4 Organic Social 合计,GA4仅有社媒合计,2026-06-30,,307,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.039088
,,2026-07-05,,LinkedIn,待手动导入平台后台数据,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,
,,2026-07-05,,X,待手动导入平台后台数据,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,
,,2026-07-05,,FB,待手动导入平台后台数据,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,
,,2026-07-05,,小红书,待手动导入平台后台数据,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,
,,2026-07-05,,抖音,待手动导入平台后台数据,2026-06-30,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,
GA4仅能观察网站会话，未拆平台点击,10,2026-07-12,待接入平台后台数据后判断,GA4 Organic Social 合计,GA4仅有社媒合计,2026-07-06,,210,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.047619
,,2026-07-12,,LinkedIn,待手动导入平台后台数据,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,
,,2026-07-12,,X,待手动导入平台后台数据,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,
,,2026-07-12,,FB,待手动导入平台后台数据,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,
,,2026-07-12,,小红书,待手动导入平台后台数据,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,
,,2026-07-12,,抖音,待手动导入平台后台数据,2026-07-06,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,
GA4仅能观察网站会话，未拆平台点击,0,2026-07-19,待接入平台后台数据后判断,GA4 Organic Social 合计,GA4仅有社媒合计,2026-07-13,,13,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.000000
,,2026-07-19,,LinkedIn,待手动导入平台后台数据,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,
,,2026-07-19,,X,待手动导入平台后台数据,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,
,,2026-07-19,,FB,待手动导入平台后台数据,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,
,,2026-07-19,,小红书,待手动导入平台后台数据,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,
,,2026-07-19,,抖音,待手动导入平台后台数据,2026-07-13,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,
GA4仅能观察网站会话，未拆平台点击,0,2026-07-26,待接入平台后台数据后判断,GA4 Organic Social 合计,GA4仅有社媒合计,2026-07-20,,25,未接入平台后台数据,平台拆分需后续内容链接统一添加 UTM,未接入平台后台数据,未接入平台后台数据,utm_medium=social,0.000000
,,2026-07-26,,LinkedIn,待手动导入平台后台数据,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=linkedin&utm_medium=social,
,,2026-07-26,,X,待手动导入平台后台数据,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=x&utm_medium=social,
,,2026-07-26,,FB,待手动导入平台后台数据,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=facebook&utm_medium=social,
,,2026-07-26,,小红书,待手动导入平台后台数据,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=xiaohongshu&utm_medium=social,
,,2026-07-26,,抖音,待手动导入平台后台数据,2026-07-20,,,,用于判断内容应该发什么、发到哪里,,,utm_source=douyin&utm_medium=social,
