资源表,资源排序,是否仪表盘主记录,周次,周范围,数据覆盖,solution名称,solution路径,英文名称,中英日URL,匹配路径别名,落地页访问量,独立访客数,会话数,平均停留时长秒,参与率,跳出率,主要流量来源,页面浏览事件_page_view,滚动事件_scroll,用户互动_user_engagement,关键事件_keyEvents,关键事件数_GA_conversions,关键事件转化率,滚动率_scroll_page_view,互动率_user_engagement_page_view,会话关键事件率,CTA状态,表单提交状态,一键加购状态,销售跟进状态,社媒平台数据状态,GA已接入口径,数据状态,官网总访问量,solution页面总访问量,CTA总点击量,表单提交总数,社媒总曝光量,增长最快solution,表单转化率,CTA点击率,解决方案独立访客数,解决方案会话数,GA关键事件总数,GA关键事件转化率,已接入事件口径,数据说明,最新周次,关键事件数(GA conversions),页面浏览事件(page_view),滚动事件(scroll),首次访问(first_visit),会话开始(session_start),用户互动(user_engagement),关键事件(keyEvents),页面访问量,CTA,表单提交(leads),一键加购,销售跟进数,页面->CTA转化率,CTA->表单转化率,访问层_page_view,滚动层_scroll,互动层_user_engagement,GA会话数,滚动率_scroll/page_view,互动率_user_engagement/page_view,关键事件转化率_keyEvents/page_view,会话关键事件率_keyEvents/session_start,GA已接入漏斗事件,缺失埋点说明,周期开始,周期结束,渠道,用户数,浏览量,转化数,转化率,平均会话时长秒,渠道排序,业务判断,建议动作,页面路径,页面标题,平均互动秒,关键事件触发次数,主要事件,页面类型/内容主题,平台,粉丝数,发帖数,曝光/播放,互动数,互动率,点击数,网站会话数,网站用户数,最佳内容类型,适合继续投入,建议UTM渠道参数,备注
00_多维仪表盘主表,00-0001,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,语音采集与分析,/solutions/voicecollectionanalysis,Voice Collection and Analysis,https://www.seeedstudio.com.cn/solutions/voicecollectionanalysis | https://www.seeed.cc/solutions/voicecollectionanalysis | https://www.seeed.co.jp/solutions/voicecollectionanalysis,/solutions/voicecollectionanalysis | /voicecollectionanalysis | /respeaker-clip-wearable-ai-recorder.html | /blog/2026/02/03/from-hearing-clearly-to-understanding-sound-how-respeaker-brings-voice-ai-into-real-world-scenarios/,7896,2740,2919,38.49,94.00%,6.00%,Email,0,0,0,0,151,5.17%,0.00%,0.00%,5.17%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0002,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能仓储管理,/solutions/smart-warehouse-management,Smart Warehouse Management,https://www.seeedstudio.com.cn/solutions/smart-warehouse-management | https://www.seeed.cc/solutions/smart-warehouse-management | https://www.seeed.co.jp/solutions/smart-warehouse-management,/solutions/smart-warehouse-management | /smart-warehouse-management,0,0,0,0.00,0.00%,0.00%,GA4本周未命中,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,GA4本周未命中该方案页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0003,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能视频分析,/solutions/intelligent-video-analytics,Intelligent Video Analytics,https://www.seeedstudio.com.cn/solutions/intelligent-video-analytics | https://www.seeed.cc/solutions/intelligent-video-analytics | https://www.seeed.co.jp/solutions/intelligent-video-analytics,/solutions/intelligent-video-analytics | /intelligent-video-analytics | /intelligent-video-analytics,44,16,21,19.38,85.71%,14.29%,Paid Search,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0004,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,室内外定位,/solutions/indoor-outdoor-positioning,Indoor and Outdoor Positioning,https://www.seeedstudio.com.cn/solutions/indoor-outdoor-positioning | https://www.seeed.cc/solutions/indoor-outdoor-positioning | https://www.seeed.co.jp/solutions/indoor-outdoor-positioning,/solutions/indoor-outdoor-positioning | /indoor-outdoor-positioning | /sensecap-t1000-tracker | /Positioning-Tracker-c-2495.html,365,160,172,39.03,93.60%,6.40%,Organic Search,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0005,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,对话式语音 AI,/solutions/conversational-voice-ai,Conversational Voice AI,https://www.seeedstudio.com.cn/solutions/conversational-voice-ai | https://www.seeed.cc/solutions/conversational-voice-ai | https://www.seeed.co.jp/solutions/conversational-voice-ai,/solutions/conversational-voice-ai | /conversational-voice-ai | /Home-Assistant-Voice-p-6998.html | /ReSpeaker-Lite-Voice-Assistant-Kit-p-5929.html,3616,1418,1529,36.24,87.38%,12.62%,Referral,0,0,0,0,88,5.76%,0.00%,0.00%,5.76%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0006,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,环境监测,/solutions/environment-monitoring,Environment Monitoring,https://www.seeedstudio.com.cn/solutions/environment-monitoring | https://www.seeed.cc/solutions/environment-monitoring | https://www.seeed.co.jp/solutions/environment-monitoring,/solutions/environment-monitoring | /environment-monitoring | /industries/environment-monitoring | /Environment-Monitoring-c-2535.html | /blog/environment-monitoring/,60,34,36,19.53,91.67%,8.33%,Organic Search,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0007,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,楼宇能源改造,/solutions/building-energy-retrofit,Building Energy Retrofit,https://www.seeedstudio.com.cn/solutions/building-energy-retrofit | https://www.seeed.cc/solutions/building-energy-retrofit | https://www.seeed.co.jp/solutions/building-energy-retrofit,/solutions/building-energy-retrofit | /building-energy-retrofit | /blog/2024/05/14/introducing-recomputer-r1000-an-industrial-edge-iot-gateway-powered-by-raspberry-pi-ideal-for-smart-building-and-energy-management/,0,0,0,0.00,0.00%,0.00%,GA4本周未命中,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,GA4本周未命中该方案页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0008,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能畜牧养殖,/solutions/smart-livestock-farming,Smart Livestock Farming,https://www.seeedstudio.com.cn/solutions/smart-livestock-farming | https://www.seeed.cc/solutions/smart-livestock-farming | https://www.seeed.co.jp/solutions/smart-livestock-farming,/solutions/smart-livestock-farming | /smart-livestock-farming | /Farming-Environment-Monitoring.html,14,4,4,3.50,100.00%,0.00%,Direct,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0009,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智慧农业传感,/solutions/smart-agriculture-sensing,Smart Agriculture Sensing,https://www.seeedstudio.com.cn/solutions/smart-agriculture-sensing | https://www.seeed.cc/solutions/smart-agriculture-sensing | https://www.seeed.co.jp/solutions/smart-agriculture-sensing,/solutions/smart-agriculture-sensing | /smart-agriculture-sensing | /Wireless-Smart-Agriculture-Kit-Outdoor-p-4950.html,19,4,4,135.25,100.00%,0.00%,Direct,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,有GA页面数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00_多维仪表盘主表,00-0010,是,2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,校园安全管理,/solutions/campus-safety-management,Campus Safety Management,https://www.seeedstudio.com.cn/solutions/campus-safety-management | https://www.seeed.cc/solutions/campus-safety-management | https://www.seeed.co.jp/solutions/campus-safety-management,/solutions/campus-safety-management | /campus-safety-management | /lorawan-safety-badge,0,0,0,0.00,0.00%,0.00%,GA4本周未命中,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,平台后台数据未接入；GA4仅可观察Organic Social网站会话,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,GA4本周未命中该方案页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
