周次,周范围,周期开始,周期结束,页面路径,页面标题,浏览量,用户数,会话数,参与率,跳出率,平均互动秒,关键事件触发次数,转化数,主要事件,页面类型/内容主题,业务判断,建议动作
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/respeaker-clip-wearable-ai-recorder.html,reSpeaker Clip: Open Wearable AI Recorder | Voice AI Agent | AI Note Taker,7888,2733,2911,94.02%,5.98%,38.57,151,151,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Home-Assistant-Voice-p-6998.html,Home Assistant Voice Preview Edition,2195,945,1024,85.06%,14.94%,26.89,64,64,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/ReSpeaker-Lite-Voice-Assistant-Kit-p-5929.html,"reSpeaker Lite 2-Mic Array Voice Kit, Compatible with ESPHome",1421,473,505,92.08%,7.92%,55.18,24,24,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/sensecap-t1000-tracker,"SenseCAP T1000 LoRaWAN GPS Tracker Utilizing GNSS, WiFi, BLE for Outdoor and Indoor RTLS Positioning",184,87,98,91.84%,8.16%,36.38,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Positioning-Tracker-c-2495.html,Positioning/Tracker,97,50,50,94.00%,6.00%,35.02,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Positioning-Tracker-c-2495.html,Bazaar,84,23,24,100.00%,0.00%,58.21,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/solutions-by-scenarios,Solutions by Scenarios,70,35,36,100.00%,0.00%,25.50,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Environment-Monitoring-c-2535.html,Environment Monitoring - Sensors & Actuators - Home Assistant,46,27,29,96.55%,3.45%,13.14,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/intelligent-video-analytics,Intelligent Video Analytics,36,11,16,81.25%,18.75%,19.94,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,其他,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Energy-Shield.html,Energy Shield - Seeed Studio,36,18,18,100.00%,0.00%,7.39,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Wireless-Smart-Agriculture-Kit-Outdoor-p-4950.html,Wireless Smart Agriculture Kit – Outdoor - Seeed Studio,19,4,4,100.00%,0.00%,135.25,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Farming-Environment-Monitoring.html,Farming Environment Monitoring,14,4,4,100.00%,0.00%,3.50,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/industries/environment-monitoring,Environment monitoring - solution,14,7,7,71.43%,28.57%,46.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/blog/2026/02/03/from-hearing-clearly-to-understanding-sound-how-respeaker-brings-voice-ai-into-real-world-scenarios/,How reSpeaker Brings Voice AI to Real Life Applications,8,7,8,87.50%,12.50%,9.12,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,内容/博客,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/solutions/intelligent-video-analytics,Intelligent Video Analytics - solution,8,5,5,100.00%,0.00%,17.60,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/Mission-Pack.html,Hazard Response Mission Pack,6,3,3,66.67%,33.33%,6.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/solutions-by-scenarios,Lösungen nach Szenarien,1,1,1,100.00%,0.00%,101.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,/solutions-by-scenarios,Решения по сценариям,0,1,1,100.00%,0.00%,7.00,0,0,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,解决方案,关键事件偏弱，需检查页面承接和已配置转化事件,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/respeaker-clip-wearable-ai-recorder.html,reSpeaker Clip: Open Wearable AI Recorder | Voice AI Agent | AI Note Taker,7667,3079,3347,84.34%,15.66%,33.70,111,111,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化处于可优化区间，建议做渠道和页面拆解,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,/Home-Assistant-Voice-p-6998.html,Home Assistant Voice Preview Edition,2586,1066,1151,82.10%,17.90%,23.32,87,87,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,产品页,转化表现较强，可继续放大有效渠道,保留高浏览页面；对高跳出或低关键事件页面优化首屏价值、内容结构和内部链接
