建议动作,更新时间,落地页访问量,CTA点击量,solution名称,主要流量来源,参与率,会话数,最新周次,数据状态,平均停留时长,独立访客数,关键事件触发次数,分析结论,表单提交
按渠道/CTA/表单继续拆解,2026-06-29,7896,GA4未发现可验证CTA事件,语音采集与分析,Email,0.940048,2919,2026-06-29,有GA4页面数据,38.49,2740,151,有可观察流量：建议按渠道和页面继续下钻,
确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-06-29,44,GA4未发现可验证CTA事件,智能视频分析,Paid Search,0.857143,21,2026-06-29,有GA4页面数据,19.38,16,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-06-29,365,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.936047,172,2026-06-29,有GA4页面数据,39.03,160,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-06-29,3616,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.873774,1529,2026-06-29,有GA4页面数据,36.24,1418,88,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-06-29,60,GA4未发现可验证CTA事件,环境监测,Organic Search,0.916667,36,2026-06-29,有GA4页面数据,19.53,34,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-06-29,14,GA4未发现可验证CTA事件,智能畜牧养殖,Direct,1.000000,4,2026-06-29,有GA4页面数据,3.50,4,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-06-29,19,GA4未发现可验证CTA事件,智慧农业传感,Unassigned,1.000000,4,2026-06-29,有GA4页面数据,135.25,4,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,校园安全管理,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-06-29,6,GA4未发现可验证CTA事件,应急响应,Unassigned,0.666667,3,2026-06-29,有GA4页面数据,6.00,3,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-06-29,36,GA4未发现可验证CTA事件,楼宇能源管理,Direct,1.000000,18,2026-06-29,有GA4页面数据,7.39,18,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,7749,GA4未发现可验证CTA事件,语音采集与分析,Email,0.844649,3373,2026-07-06,有GA4页面数据,33.47,3105,111,有可观察流量：建议按渠道和页面继续下钻,
确认页面埋点和 GA4 property,2026-07-06,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-07-06,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-07-06,25,GA4未发现可验证CTA事件,智能视频分析,Paid Search,1.000000,14,2026-07-06,有GA4页面数据,23.86,12,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,362,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.931429,175,2026-07-06,有GA4页面数据,35.08,167,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,4927,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.860154,1945,2026-07-06,有GA4页面数据,24.76,1813,128,有可观察流量：建议按渠道和页面继续下钻,
按渠道/CTA/表单继续拆解,2026-07-06,50,GA4未发现可验证CTA事件,环境监测,Direct,0.909091,33,2026-07-06,有GA4页面数据,17.48,31,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
确认页面埋点和 GA4 property,2026-07-06,0,GA4未发现可验证CTA事件,楼宇能源改造,Unassigned,0.000000,0,2026-07-06,GA4本周未命中该方案页,0.00,0,0,样本偏少：先确认埋点和入口曝光,
按渠道/CTA/表单继续拆解,2026-07-06,6,GA4未发现可验证CTA事件,智能畜牧养殖,Organic Search,1.000000,1,2026-07-06,有GA4页面数据,8.00,1,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,7,GA4未发现可验证CTA事件,智慧农业传感,Direct,1.000000,2,2026-07-06,有GA4页面数据,18.50,2,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,17,GA4未发现可验证CTA事件,校园安全管理,Unassigned,1.000000,3,2026-07-06,有GA4页面数据,40.00,3,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,25,GA4未发现可验证CTA事件,应急响应,Referral,1.000000,8,2026-07-06,有GA4页面数据,66.37,7,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-06,15,GA4未发现可验证CTA事件,楼宇能源管理,Direct,1.000000,8,2026-07-06,有GA4页面数据,9.62,8,0,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,
按渠道/CTA/表单继续拆解,2026-07-13,4078,GA4未发现可验证CTA事件,语音采集与分析,Direct,0.909203,1619,2026-07-13,有GA4页面数据,32.43,1487,61,有可观察流量：建议按渠道和页面继续下钻,
