周期开始,周期结束,分析维度,核心指标,指标值,单位,环比/趋势,业务问题,判断结论,建议动作,数据来源,更新时间
2026-06-30,2026-07-27,流量概览,用户数,1161048,人,最近14天 vs 前14天: 上升1.6%,网站整体流量是涨是跌？新客多还是老客多？,当前为活跃用户数；新老客占比待接入 newUsers 后判断,下次 GA4 拉数增加 newUsers 指标，并按渠道拆分新客占比,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,流量概览,会话数,1240383,次,最近14天 vs 前14天: 上升1.4%,网站整体流量是涨是跌？新客多还是老客多？,用于判断整体访问规模变化,周报中固定追踪会话数变化和异常日期,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,流量概览,新用户占比,待接入,%,待接入 newUsers,网站整体流量是涨是跌？新客多还是老客多？,当前 GA4 导出未包含新用户指标,在下一版 GA4 API 指标中加入 newUsers,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,流量质量,平均会话时长,31.90,秒(以平均互动秒近似),最近14天 vs 前14天: 下降4.2%,用户对我的网站内容感兴趣吗？落地页质量如何？,互动时间正常，可继续按页面主题细分判断,优先检查低互动高流量页面的首屏信息和CTA,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,流量质量,跳出率,15.62%,%,最近14天 vs 前14天: 上升71.8%,用户对我的网站内容感兴趣吗？落地页质量如何？,跳出率较健康，页面承接质量较好,按渠道和热门页面筛出跳出偏高的落地页,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,流量来源 Views by Channel,Top 5 渠道,Direct / Organic Search / Unassigned / Referral / Paid Search,渠道,按浏览量排序,用户都是从哪些渠道来的？哪个渠道效果最好？,当前 Top 5 渠道已在渠道表展开,把资源优先投到高流量且高转化渠道,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,用户行为,热门页面,/ / /SenseCAP-Card-Tracker-T1000-E-for-Meshtastic-p-5913.html / /checkout/cart/ / /reTerminal-E1002-p-6533.html / /XIAO-nRF52840-Wio-SX1262-Kit-for-Meshtastic-p-6400.html,页面,按浏览量排序,用户最喜欢看哪些内容？核心按钮点击多吗？,当前能看到热门页面；具体按钮点击需接入事件名称,下一版加入 click/contact/form_submit 等关键事件明细,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,用户行为,关键事件触发次数,61215,次,最近14天 vs 前14天: 上升11.3%,用户最喜欢看哪些内容？核心按钮点击多吗？,当前以 GA4 Conversions 汇总近似关键事件,把咨询、提交表单、加购设为单独 Key Event,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,转化效果,转化率,4.94%,%,最近14天 vs 前14天: 上升9.8%,多少用户完成了我们期望的动作（如提交表单）？,转化处于可优化区间，建议做渠道和页面拆解,按渠道和页面定位高转化入口并复用内容主题,GA4,2026-07-28T08:17:59
2026-06-30,2026-07-27,转化效果,加购率,待接入,%,待接入 add_to_cart 事件,多少用户完成了我们期望的动作（如提交表单）？,当前 GA4 导出未包含加购事件明细,在 GA4 事件维度中加入 add_to_cart 并单独成表,GA4,2026-07-28T08:17:59
