资源表,资源排序,是否仪表盘主记录,CTA总点击量,关键事件触发次数,CTA点击率,独立访客数,solution页面总访问量,官网总访问量,社媒总曝光量,周次,增长最快solution,关键事件转化率,建议动作,更新时间,落地页访问量,CTA点击量,solution名称,主要流量来源,参与率,会话数,最新周次,数据状态,平均停留时长,分析结论,表单提交,页面->CTA转化率,表单提交(leads),销售跟进数,页面访问量,一键加购,CTA->表单转化率,点击数,转化数,周期结束,最佳内容类型,平台,周期开始,发帖数,网站会话数,互动率,备注,互动数,曝光|播放,建议UTM渠道参数,转化率,评论,判断结论,统计周期结束,分享|收藏,点赞,点击率,发布日期,链接|素材,内容类型,统计周期开始,下次动作
01_方案增长总览,00-0001,否,,239,,4434,12056,12127,,2026-06-29,首周，无上一周对比,0.050379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_方案增长总览,00-0002,否,,239,,5195,13183,13265,,2026-07-06,对话式语音 AI,0.042602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_方案增长总览,00-0003,否,,169,,3647,9673,9766,,2026-07-13,对话式语音 AI,0.043035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_方案增长总览,00-0004,否,,168,,3042,8338,8397,,2026-07-20,校园安全管理,0.051266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0001,否,,151,,2740,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,7896,GA4未发现可验证CTA事件,语音采集与分析,Email,0.940048,2919,2026-06-29,有GA4页面数据,38.49,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0002,否,,0,,0,,,,,,,确认页面埋点和 GA4 property,2026-06-29,0,GA4未发现可验证CTA事件,智能仓储管理,Unassigned,0.000000,0,2026-06-29,GA4本周未命中该方案页,0.00,样本偏少：先确认埋点和入口曝光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0003,否,,0,,16,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,44,GA4未发现可验证CTA事件,智能视频分析,Paid Search,0.857143,21,2026-06-29,有GA4页面数据,19.38,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0004,否,,0,,160,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,365,GA4未发现可验证CTA事件,室内外定位,Organic Search,0.936047,172,2026-06-29,有GA4页面数据,39.03,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0005,否,,88,,1418,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,3616,GA4未发现可验证CTA事件,对话式语音 AI,Referral,0.873774,1529,2026-06-29,有GA4页面数据,36.24,有可观察流量：建议按渠道和页面继续下钻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_单方案流量明细,01-0006,否,,0,,34,,,,,,,按渠道/CTA/表单继续拆解,2026-06-29,60,GA4未发现可验证CTA事件,环境监测,Organic Search,0.916667,36,2026-06-29,有GA4页面数据,19.53,有流量但转化偏弱：优先检查CTA、表单入口和案例承接,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
