表名,字段,说明,维护方式
01_落地页官网增长看板,指标值,围绕 Seeed 解决方案入口页和12个方案页输出增长判断。,每周脚本更新
02_单方案流量明细,solution名称,固定包含用户指定的12个解决方案；中文站匹配不到时按同 slug 的英文站路径观察。,每周脚本更新
02_单方案流量明细,CTA点击量,当前GA4导出没有 eventName 维度，需下一版接入 CTA 点击事件后自动填入。,事件接入后每周更新
02_单方案流量明细,表单提交,当前用 GA4 keyEvents/Conversions 汇总近似，后续可拆成具体 contacts/form_submit。,每周脚本更新
03_流量来源渠道,渠道,按 GA4 Channel Group 浏览量排序，仅保留前5个渠道。,每周脚本更新
04_热门页面与行为,关键事件触发次数,当前用 GA4 Conversions 汇总近似，后续可拆成咨询、表单、加购等事件。,每周脚本更新
06_社媒平台表现,平台,LinkedIn/X/FB/小红书/抖音字段保留，用于后续平台后台手动或API导入。,平台数据手动补录或后续API接入
07_社媒内容表现,内容类型,建议统一选项：产品发布、案例、教程、活动、观点、短视频、用户故事。,每次发布内容后补录
07_社媒内容表现,下次动作,建议统一选项：复投、改标题、换平台、做二创、暂停、转销售跟进。,周复盘时填写
导入建议,视图,导入飞书多维表格后，为渠道表建柱状图；为页面表建Top列表；为社媒平台表建平台对比图。,飞书内配置一次即可
