页面->CTA转化率,表单提交(leads),销售跟进数,页面访问量,一键加购,最新周次,数据状态,solution名称,CTA->表单转化率,CTA点击量
,,,7896,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,语音采集与分析,,
,,,0,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,智能仓储管理,,
,,,44,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能视频分析,,
,,,365,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,室内外定位,,
,,,3616,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,对话式语音 AI,,
,,,60,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,环境监测,,
,,,0,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,楼宇能源改造,,
,,,14,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能畜牧养殖,,
,,,19,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智慧农业传感,,
,,,0,,2026-06-29,GA4本周未命中；CTA/表单/加购/CRM未接入,校园安全管理,,
,,,6,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,应急响应,,
,,,36,,2026-06-29,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,楼宇能源管理,,
,,,7749,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,语音采集与分析,,
,,,0,,2026-07-06,GA4本周未命中；CTA/表单/加购/CRM未接入,智能仓储管理,,
,,,25,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能视频分析,,
,,,362,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,室内外定位,,
,,,4927,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,对话式语音 AI,,
,,,50,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,环境监测,,
,,,0,,2026-07-06,GA4本周未命中；CTA/表单/加购/CRM未接入,楼宇能源改造,,
,,,6,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能畜牧养殖,,
,,,7,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智慧农业传感,,
,,,17,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,校园安全管理,,
,,,25,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,应急响应,,
,,,15,,2026-07-06,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,楼宇能源管理,,
,,,4078,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,语音采集与分析,,
,,,0,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,智能仓储管理,,
,,,36,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能视频分析,,
,,,378,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,室内外定位,,
,,,5080,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,对话式语音 AI,,
,,,74,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,环境监测,,
,,,9,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,楼宇能源改造,,
,,,0,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,智能畜牧养殖,,
,,,0,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,智慧农业传感,,
,,,0,,2026-07-13,GA4本周未命中；CTA/表单/加购/CRM未接入,校园安全管理,,
,,,9,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,应急响应,,
,,,9,,2026-07-13,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,楼宇能源管理,,
,,,3696,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,语音采集与分析,,
,,,6,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能仓储管理,,
,,,20,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,智能视频分析,,
,,,361,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,室内外定位,,
,,,4164,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,对话式语音 AI,,
,,,64,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,环境监测,,
,,,0,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,楼宇能源改造,,
,,,0,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,智能畜牧养殖,,
,,,0,,2026-07-20,GA4本周未命中；CTA/表单/加购/CRM未接入,智慧农业传感,,
,,,9,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,校园安全管理,,
,,,18,,2026-07-20,GA4已有页面/会话/关键事件；CTA、表单、加购需补埋点；销售跟进需接CRM,应急响应,,
