周次,周范围,周期开始,周期结束,渠道,用户数,会话数,浏览量,转化数,转化率,跳出率,平均会话时长秒,渠道排序,业务判断,建议动作
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,Email,1154,1223,2979,43,3.52%,5.72%,43.82,1,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,Direct,889,952,2454,53,5.57%,8.61%,25.67,2,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,Organic Search,757,810,1827,36,4.44%,11.23%,36.73,3,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,Referral,581,653,1583,53,8.12%,9.49%,36.44,4,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,Organic Social,295,307,950,12,3.91%,3.26%,22.17,5,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,Email,1407,1559,3314,26,1.67%,22.32%,30.97,1,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,Organic Search,957,1019,2303,34,3.34%,15.31%,29.24,2,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,Direct,838,882,2148,52,5.90%,9.07%,29.48,3,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,Referral,747,820,1888,63,7.68%,10.73%,31.15,4,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,Cross-network,404,426,1349,13,3.05%,4.46%,21.51,5,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,Organic Search,835,904,1904,26,2.88%,17.48%,28.48,1,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,Direct,728,760,1854,33,4.34%,9.87%,31.33,2,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,Referral,677,750,1791,50,6.67%,12.40%,27.36,3,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,Cross-network,486,501,1602,9,1.80%,2.00%,17.93,4,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,Paid Search,271,286,785,16,5.59%,2.45%,29.01,5,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,Organic Search,736,798,1915,38,4.76%,10.15%,52.82,1,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,Referral,672,735,1767,49,6.67%,6.80%,29.65,2,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,Direct,643,684,1767,45,6.58%,9.06%,30.61,3,转化表现较强，可继续放大有效渠道,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,Cross-network,280,288,903,1,0.35%,2.78%,19.43,4,关键事件偏弱，需检查页面承接和已配置转化事件,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,Paid Search,221,237,683,8,3.38%,3.38%,37.51,5,转化处于可优化区间，建议做渠道和页面拆解,高转化渠道继续放大；高流量低关键事件渠道优先检查落地页承接和事件配置
